Timestamp,Output Angle [deg],Angular Velocity [dps],Gravity Torque [Nm],Friction Torque [Nm],Damping Torque [Nm],Target Torque [Nm],Applied Torque [Nm],Is Holding
1752828747.9827359,150.45022392614635,-12.648584943001236,0.36285681804069647,-0.0036807987912889878,0.022075945297355085,0.3812519645467626,0.39584893784738634,False
1752828747.9937005,153.86702410925457,-12.77466902598225,0.3240654621514349,-0.003680850800973218,0.02229600353559273,0.3426806148860544,0.35863111177445395,False
1752828748.0054994,157.27833104448007,-12.953836223652404,0.2841870527247776,-0.003680924707442257,0.022608709286684302,0.30311483730401967,0.31976971964514994,False
1752828748.017216,160.9423273823148,-13.188795120089015,0.2402368889037294,-0.003681021627987037,0.023018789921651423,0.2595746571973938,0.27763317593172065,False
1752828748.0285952,164.8974658579385,-13.482855107142266,0.19169761004832342,-0.0036811429277316962,0.02353202141889654,0.21154848853948827,0.23137389475715797,False
1752828748.0395598,169.07233424887468,-13.837901377454944,0.13947580964617928,-0.0036812893843182,0.02415169406028474,0.15994621432214584,0.18137451845264949,False
1752828748.0513878,173.28016212710767,-14.252449796509596,0.0860934932224564,-0.00368146038554106,0.02487521754242883,0.10728725037934417,0.12951343080133576,False
1752828748.0625198,177.57588197146563,-14.72608192289455,0.0,0.0,0.0,0.0,0.0,True
1752828748.0738423,182.21218318455792,-15.262729501616326,0.0,0.0,0.0,0.0,0.0,True
1752828748.0855966,186.996802090486,-15.862945367588527,0.0,0.0,0.0,0.0,0.0,False
1752828748.0969658,191.77043450064855,-16.524345529567718,-0.15008631503485562,-0.003682397542530947,0.02884042362281627,-0.12492828895457028,-0.08744980226819919,False
1752828748.1081312,196.747317082475,-17.248302588924293,-0.21200741375901738,-0.003682696174817932,0.030103967055699093,-0.1855861428781362,-0.15614524069515512,False
1752828748.1191213,201.53193598840312,-18.029061626451032,-0.27003479834489397,-0.003683018237920911,0.03146664864265345,-0.2422511679401614,-0.21641938976665953,False
